Date,Revenue,Capital Expenditures,Gross Dividend,Net Income,Operating Cash Flow,Operating Income,Preferred Dividends,Shares Outstanding,Total Equity,stock_code
2023-06-30,1066.45,-65.36,0.0,25.36,150.99,60.26,0.0,1110.05,115.2,5250
2023-03-31,976.92,-33.38,0.0,15.68,30.26,44.88,0.0,1110.05,149.78,5250
2022-12-31,992.42,-111.97,0.0,3.07,465.96,33.66,0.0,1110.05,134.16,5250
2022-09-30,988.21,-59.93,0.0,13.66,388.15,55.12,0.0,1126.32,124.56,5250
2022-06-30,943.67,-37.83,0.0,25.77,231.14,59.18,0.0,1126.32,110.87,5250
2022-03-31,839.98,-17.01,0.0,24.38,114.26,61.89,0.0,1126.32,114.37,5250
2021-12-31,794.48,-50.97,0.03,30.12,263.62,64.55,0.0,1126.32,89.98,5250
2021-09-30,680.22,-29.56,0.0,1.44,125.53,30.5,0.0,1126.32,58.85,5250
2023-06-30,156.28,-2.87,0.0,10.52,62.43,15.77,0.0,307.56,417.37,7167
2023-03-31,146.13,-0.92,0.0,7.11,35.66,10.37,0.0,307.56,407.24,7167
2022-12-31,127.77,-56.47,3.08,8.32,-86.57,10.64,0.0,307.56,401.37,7167
2022-09-30,139.14,-2.08,3.08,8.33,25.55,15.24,0.0,307.56,396.54,7167
2022-06-30,152.14,-3.01,4.61,12.61,24.2,15.52,0.0,307.56,391.54,7167
2022-03-31,130.78,-1.19,1.54,4.12,-12.48,6.17,0.0,307.56,379.08,7167
2021-12-31,147.68,-19.41,4.61,7.24,-20.62,13.12,0.0,307.56,379.57,7167
2021-09-30,117.83,-10.98,3.08,8.77,-13.49,14.16,0.0,307.56,375.32,7167
2023-06-30,1.41,0.0,0.0,0.01,0.51,0.0,0.0,263.9,43.05,7086
2023-03-31,1.45,0.0,0.0,0.09,0.42,0.09,0.0,263.9,43.04,7086
2022-12-31,1.57,0.0,0.0,0.11,0.81,0.13,0.0,263.9,42.95,7086
2022-09-30,1.18,0.0,0.0,0.08,0.52,0.07,0.0,263.9,42.84,7086
2022-06-30,0.7,0.0,0.0,-0.14,0.45,-0.15,0.0,263.9,42.76,7086
2022-03-31,1.0,0.0,0.0,0.02,0.63,0.02,0.0,263.9,42.9,7086
2021-12-31,1.2,-0.01,0.0,-0.59,0.15,-0.59,0.0,263.9,42.88,7086
2021-09-30,0.35,-0.01,0.0,-0.19,0.05,-0.2,0.0,263.9,43.06,7086
2023-06-30,33.24,-11.47,0.0,0.09,-50.07,2.89,0.0,180.0,158.79,5198
2023-03-31,25.39,-7.45,0.0,-2.94,-21.64,-0.56,0.0,180.0,158.7,5198
2022-12-31,26.38,-63.81,0.0,-2.13,18.12,-0.76,0.0,180.0,161.65,5198
2022-09-30,25.23,-52.02,0.0,-0.6,34.17,0.62,0.0,180.0,163.77,5198
2022-06-30,25.84,-43.03,0.0,2.61,34.38,4.16,0.0,180.0,164.37,5198
2022-03-31,23.31,-21.79,0.0,-1.99,14.22,-1.31,0.0,180.0,161.77,5198
2021-12-31,28.78,-29.72,0.0,3.13,8.31,4.81,0.0,180.0,163.76,5198
2021-09-30,21.84,-11.78,0.0,-1.69,8.6,-1.44,0.0,180.0,160.63,5198
