stock_code,rEPS,rROE,rOM,rPR,rFCF,rDate,rDY,rPE
5250,0.052,0.441,0.048,0.0,764.72,2023-06-30,0.0,38.571
5250,0.052,0.448,0.049,0.0,872.4,2023-03-31,0.0,39.208
5250,0.06,0.553,0.056,0.0,972.77,2022-12-31,0.0,32.386
5250,0.083,0.854,0.068,0.36,831.43,2022-09-30,0.015,23.982
7167,0.111,0.085,0.091,55.267,-25.27,2023-06-30,4.85,11.394
7167,0.118,0.091,0.092,91.076,-63.64,2023-03-31,8.221,11.078
7167,0.109,0.085,0.087,113.423,-112.05,2022-12-31,9.119,12.439
7167,0.105,0.084,0.088,131.784,-9.04,2022-09-30,10.406,12.664
7086,0.001,0.007,0.052,0.0,2.26,2023-06-30,0.0,109.2
7086,0.001,0.003,0.029,0.0,2.2,2023-03-31,0.0,235.625
7086,0.0,0.002,0.016,0.0,2.41,2022-12-31,0.0,508.95
7086,-0.002,-0.015,-0.159,-0.0,1.74,2022-09-30,0.0,-48.172
5198,-0.031,-0.035,0.02,-0.0,-154.17,2023-06-30,0.0,-10.323
5198,-0.017,-0.019,0.034,-0.0,-101.28,2023-03-31,0.0,-24.118
5198,-0.012,-0.013,0.027,-0.0,-79.76,2022-12-31,0.0,-36.682
5198,0.017,0.019,0.08,0.0,-55.48,2022-09-30,0.0,21.714
